,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,epoch,run,tran,dataset,test
0,0.279370248,0.931315789,113.758,66.808,3.54,./results/bert-base-uncased-AG_NEWS-SibylCollator-SIB,SIB,AG_NEWS,ORIG
1,0.293198466,0.927763158,112.877,67.33,3.28,./results/bert-base-uncased-AG_NEWS-SibylCollator-INVSIB,INVSIB,AG_NEWS,ORIG
2,0.325988293,0.927894737,113.6751,66.857,3.54,./results/bert-base-uncased-AG_NEWS-SibylCollator-TextMix,TextMix,AG_NEWS,ORIG
3,0.325761259,0.925,113.0304,67.239,3.28,./results/bert-base-uncased-AG_NEWS-SibylCollator-SentMix,SentMix,AG_NEWS,ORIG
4,0.27490747,0.926184211,112.7674,67.395,3.28,./results/bert-base-uncased-AG_NEWS-SibylCollator-WordMix,WordMix,AG_NEWS,ORIG
5,0.353707016,0.922105263,110.1731,68.982,3.28,./results/roberta-base-AG_NEWS-SibylCollator-SIB,SIB,AG_NEWS,ORIG
6,0.355798483,0.928289474,107.7642,70.524,4.8,./results/roberta-base-AG_NEWS-SibylCollator-INVSIB,INVSIB,AG_NEWS,ORIG
7,0.274712622,0.931184211,109.032,69.704,3.28,./results/roberta-base-AG_NEWS-SibylCollator-TextMix,TextMix,AG_NEWS,ORIG
8,0.33298558,0.921578947,110.017,69.08,3.28,./results/roberta-base-AG_NEWS-SibylCollator-SentMix,SentMix,AG_NEWS,ORIG
9,0.290558845,0.927763158,111.5945,68.104,3.54,./results/roberta-base-AG_NEWS-SibylCollator-WordMix,WordMix,AG_NEWS,ORIG
10,0.292671293,0.930131579,241.974,31.408,3.54,./results/xlnet-base-cased-AG_NEWS-SibylCollator-SIB,SIB,AG_NEWS,ORIG
11,0.356488049,0.924473684,242.7723,31.305,3.79,./results/xlnet-base-cased-AG_NEWS-SibylCollator-INVSIB,INVSIB,AG_NEWS,ORIG
12,0.392688572,0.921710526,242.6244,31.324,3.54,./results/xlnet-base-cased-AG_NEWS-SibylCollator-TextMix,TextMix,AG_NEWS,ORIG
13,0.328027219,0.926447368,246.4713,30.835,3.54,./results/xlnet-base-cased-AG_NEWS-SibylCollator-SentMix,SentMix,AG_NEWS,ORIG
14,0.33383435,0.928552632,247.9231,30.655,3.54,./results/xlnet-base-cased-AG_NEWS-SibylCollator-WordMix,WordMix,AG_NEWS,ORIG
15,0.309242696,0.945657016,16.9824,396.588,11.39,./results/bert-base-uncased-SST2-SibylCollator-SIB,SIB,SST2,ORIG
16,0.278686821,0.941796585,16.8816,398.954,8.89,./results/bert-base-uncased-SST2-SibylCollator-INVSIB,INVSIB,SST2,ORIG
17,0.342420816,0.94996288,16.9163,398.137,15.28,./results/bert-base-uncased-SST2-SibylCollator-TextMix,TextMix,SST2,ORIG
18,0.316107184,0.945211581,16.9613,397.081,11.39,./results/bert-base-uncased-SST2-SibylCollator-SentMix,SentMix,SST2,ORIG
19,0.341760159,0.940757238,16.9557,397.211,12.23,./results/bert-base-uncased-SST2-SibylCollator-WordMix,WordMix,SST2,ORIG
20,0.309772283,0.935412027,16.4871,408.501,11.67,./results/roberta-base-SST2-SibylCollator-SIB,SIB,SST2,ORIG
21,0.334362179,0.94298441,16.5578,406.758,15.84,./results/roberta-base-SST2-SibylCollator-INVSIB,INVSIB,SST2,ORIG
22,0.326216787,0.942687454,16.5737,406.367,10,./results/roberta-base-SST2-SibylCollator-TextMix,TextMix,SST2,ORIG
23,0.328240484,0.942093541,16.5362,407.287,12.5,./results/roberta-base-SST2-SibylCollator-SentMix,SentMix,SST2,ORIG
24,0.27456677,0.928730512,16.4983,408.223,7.78,./results/roberta-base-SST2-SibylCollator-WordMix,WordMix,SST2,ORIG
25,0.302946925,0.92576095,26.3794,255.313,3.75,./results/xlnet-base-cased-SST2-SibylCollator-SIB,SIB,SST2,ORIG
26,0.266829997,0.925315516,26.3495,255.603,3.75,./results/xlnet-base-cased-SST2-SibylCollator-INVSIB,INVSIB,SST2,ORIG
27,0.267045259,0.932887899,26.3675,255.428,5,./results/xlnet-base-cased-SST2-SibylCollator-TextMix,TextMix,SST2,ORIG
28,0.292025477,0.932293987,26.2897,256.184,5.42,./results/xlnet-base-cased-SST2-SibylCollator-SentMix,SentMix,SST2,ORIG
29,0.33149609,0.905864885,26.3794,255.313,4.17,./results/xlnet-base-cased-SST2-SibylCollator-WordMix,WordMix,SST2,ORIG
